"series_id","name","construction","expected_selection","group"
"JTSJOL","Job Openings (JOLTS)","Numerator for v/u ratio","2021-22","TIGHT LABOR MARKET"
"UNRATE","Unemployment Rate","Denominator for v/u ratio","All periods","TIGHT LABOR MARKET"
"JTSQUR","Quits Rate","Direct tightness indicator","2021-22","TIGHT LABOR MARKET"
"CIVPART","Labor Force Participation Rate","Broader slack measure","Pre-2008, 2008-09","TIGHT LABOR MARKET"
"EMRATIO","Employment-Population Ratio","Alternative slack measure","Pre-2008, 2008-09","TIGHT LABOR MARKET"
"PAYEMS","Nonfarm Payrolls","Employment level","All periods","TIGHT LABOR MARKET"
"NAPM","ISM Manufacturing PMI","Includes supplier delivery times component","2021-22","SUPPLY CHAIN"
"NAPMNOI","ISM New Orders","Forward-looking demand","2021-22","SUPPLY CHAIN"
"NAPMII","ISM Inventories","Inventory adjustments to supply constraints","2021-22","SUPPLY CHAIN"
"CUSR0000SA0","CPI: All Items","Overall inflation","All periods","SUPPLY CHAIN"
"PPIACO","Producer Price Index: All Commodities","Input cost pressures","2021-22","SUPPLY CHAIN"
"CUSR0000SAC","CPI: Commodities","Goods inflation","2021-22","SUPPLY CHAIN"
"MICH","Michigan: 1-Year Inflation Expectations","Survey-based, consumer expectations","2021-22","EXPECTATIONS"
"T5YIE","5-Year Breakeven Inflation","Market-based, medium-term","All periods","EXPECTATIONS"
"T10YIE","10-Year Breakeven Inflation","Market-based, long-term","Pre-2008","EXPECTATIONS"
"THREEFYTP5","3-Month to 5-Year Forward","Forward inflation compensation","2021-22","EXPECTATIONS"
"THREEFYTP10","3-Month to 10-Year Forward","Forward inflation compensation","Pre-2008","EXPECTATIONS"
"CES0500000003","Average Hourly Earnings: Total Private","Nominal wage growth, broad","2008-09, 2021-22","WAGE DYNAMICS"
"COMPRNFB","Nonfarm Business Sector: Compensation Per Hour","Broader compensation measure","2008-09","WAGE DYNAMICS"
"ECIWAG","Employment Cost Index: Wages & Salaries","ECI - less cyclical composition bias","2008-09","WAGE DYNAMICS"
"AHETPI","Average Hourly Earnings: Production & Nonsupervisory","Wages for majority of workforce","2021-22","WAGE DYNAMICS"
"PCEDG","Personal Consumption: Durable Goods","COVID surge in durables demand","2021-22","SECTORAL SHIFTS"
"PCEND","Personal Consumption: Nondurable Goods","Goods consumption","2021-22","SECTORAL SHIFTS"
"PCESV","Personal Consumption: Services","COVID drop in services","2021-22","SECTORAL SHIFTS"
"DGOAO","Durable Goods New Orders","Manufacturing demand","2021-22","SECTORAL SHIFTS"
"RRSFS","Retail Sales: Food Services","Services demand proxy","2021-22","SECTORAL SHIFTS"
"FEDFUNDS","Federal Funds Rate","Policy rate (hits ZLB 2008-2015)","All periods","FINANCIAL"
"GS10","10-Year Treasury","Long-term safe rate","Pre-2008","FINANCIAL"
"BAA10Y","BAA Corp Spread over 10Y Treasury","Credit spread - risk premium","2008-09","FINANCIAL"
"NFCI","Chicago Fed National Financial Conditions Index","Comprehensive financial conditions","2008-09, 2021-22","FINANCIAL"
"DEXUSEU","USD/EUR Exchange Rate","Exchange rate pressure","2021-22","FINANCIAL"
"DCOILWTICO","WTI Crude Oil Price","Global oil benchmark","2021-22","ENERGY COMMODITIES"
"GASREGW","Gasoline Prices","Direct consumer impact","2021-22","ENERGY COMMODITIES"
"CUSR0000SEHE","CPI: Energy","Energy component of CPI","2021-22","ENERGY COMMODITIES"
"PPIENG","PPI: Fuels and Related Products","Producer-level energy costs","2021-22","ENERGY COMMODITIES"
